;Maanantai;Tiistai;Keskiviikko;Torstai;Perjantai;Lauantai;Sunnuntai
8:00;restapi;tyohakemus;rust;;;;
9:00;restapi;tyohakemus;rust;sverige;tyo;telegramBot;telegramBot
10:00;restapi;tyohakemus;rust;sverige;tyo;telegramBot;telegramBot
11:00;restapi;tyohakemus;rust;sverige;tyo;telegramBot;telegramBot
12:00;foodtime;foodtime;foodtime;foodtime;tyo;foodtime;foodtime
13:00;foodtime;foodtime;foodtime;foodtime;foodtime;foodtime;foodtime
14:00;restapi;rust;;frontend;foodtime;;
15:00;restapi;rust;;frontend;;;
16:00;restapi;rust;rust;frontend;;;
17:00;restapi;rust;rust;frontend;;;
18:00;kiipeily;;rust;frontend;;;
19:00;kiipeily;;;;;;
20:00;kiipeily;;;;;;
